,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3500,0.16666666666666666,0.0,0.0,-0.16666666666666666,0.16666666666666666,0.0,0.0,-0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,-0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,-0.16666666666666666,0.0,0.0,-0.16666666666666666,-0.16666666666666666
3501,0.0,0.0,0.0,-0.16666666666666666,0.16666666666666666,0.0,0.0,-0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,-0.16666666666666666,-0.16666666666666666
3502,0.0,0.0,0.0,-0.16666666666666666,0.16666666666666666,0.0,0.0,-0.16666666666666666,0.0,0.0,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,-0.16666666666666666,-0.16666666666666666
3503,0.0,0.0,0.0,0.0,0.16666666666666666,-0.16666666666666666,0.0,-0.16666666666666666,0.0,0.0,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,-0.16666666666666666,-0.16666666666666666
3504,0.0,0.0,0.0,0.0,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.0,0.0,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,-0.16666666666666666,0.0
3505,0.0,0.0,0.0,0.0,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.0,0.0,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,-0.16666666666666666,0.0
3506,0.0,0.0,0.0,0.0,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.0,-0.16666666666666666,0.0,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,-0.16666666666666666,0.0
3507,0.0,0.0,0.0,0.0,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.0,-0.16666666666666666,0.0,0.0,-0.16666666666666666,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,-0.16666666666666666,0.16666666666666666
3508,0.0,0.0,0.0,0.0,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.0,-0.16666666666666666,0.0,0.0,-0.16666666666666666,-0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.16666666666666666,0.16666666666666666
3509,0.0,0.0,0.0,0.0,0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.0,-0.16666666666666666,0.0,0.0,-0.16666666666666666,-0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.16666666666666666,0.16666666666666666
